id,created_utc,agent,asset,direction,level,horizon_h,confidence,price_source,price_at_call,expires_utc,resolved_utc,price_at_expiry,result,brier
20260706-0757-oracle,2026-07-06T07:57:49+00:00,oracle,BTC,above,63500.00,24,0.62,binance_btcusdt_1d_close,63092.00,2026-07-07T07:57:49+00:00,2026-07-08T03:49:00+00:00,63363.99,loss,0.3844
20260706-0757-guardian,2026-07-06T07:57:49+00:00,guardian,BTC,below,63500.00,24,0.57,binance_btcusdt_1d_close,63092.00,2026-07-07T07:57:49+00:00,2026-07-08T03:49:00+00:00,63363.99,win,0.1849
20260707-0452-oracle,2026-07-07T04:52:00+00:00,oracle,BTC,above,63500.00,24,0.62,binance_btcusdt_1d_close,63095.99,2026-07-08T04:52:00+00:00,2026-07-09T04:16:34+00:00,62290.00,loss,0.3844
20260707-0452-guardian,2026-07-07T04:52:00+00:00,guardian,BTC,below,63500.00,24,0.58,binance_btcusdt_1d_close,63095.99,2026-07-08T04:52:00+00:00,2026-07-09T04:16:34+00:00,62290.00,win,0.1764
20260708-0349-oracle,2026-07-08T03:49:00+00:00,oracle,BTC,above,63000.00,24,0.62,binance_btcusdt_1d_close,62908.01,2026-07-09T03:49:00+00:00,2026-07-10T04:19:01+00:00,63230.00,win,0.1444
20260708-0349-guardian,2026-07-08T03:49:00+00:00,guardian,BTC,below,63000.00,24,0.60,binance_btcusdt_1d_close,62908.01,2026-07-09T03:49:00+00:00,2026-07-10T04:19:01+00:00,63230.00,loss,0.3600
20260709-0416-oracle,2026-07-09T04:16:34+00:00,oracle,BTC,above,62068.00,24,0.65,binance_btcusdt_1d_close,62068.47,2026-07-10T04:16:34+00:00,2026-07-11T03:46:22+00:00,64161.72,win,0.1225
20260709-0416-guardian,2026-07-09T04:16:34+00:00,guardian,BTC,below,62068.00,24,0.62,binance_btcusdt_1d_close,62068.47,2026-07-10T04:16:34+00:00,2026-07-11T03:46:22+00:00,64161.72,loss,0.3844
20260710-0419-oracle,2026-07-10T04:19:01+00:00,oracle,BTC,above,64000.00,24,0.65,binance_btcusdt_1d_close,64000.00,2026-07-11T04:19:01+00:00,2026-07-12T04:02:16+00:00,63819.00,loss,0.4225
20260710-0419-guardian,2026-07-10T04:19:01+00:00,guardian,BTC,below,64000.00,24,0.62,binance_btcusdt_1d_close,64000.00,2026-07-11T04:19:01+00:00,2026-07-12T04:02:16+00:00,63819.00,win,0.1444
20260711-0346-oracle,2026-07-11T03:46:22+00:00,oracle,BTC,above,64500.00,24,0.65,binance_btcusdt_1d_close,64167.39,2026-07-12T03:46:22+00:00,2026-07-13T04:04:25+00:00,63780.00,loss,0.4225
20260711-0346-guardian,2026-07-11T03:46:22+00:00,guardian,BTC,below,64500.00,24,0.62,binance_btcusdt_1d_close,64167.39,2026-07-12T03:46:22+00:00,2026-07-13T04:04:25+00:00,63780.00,win,0.1444
20260712-0402-oracle,2026-07-12T04:02:16+00:00,oracle,BTC,above,64000.00,24,0.72,binance_btcusdt_1d_close,64191.57,2026-07-13T04:02:16+00:00,2026-07-14T11:03:14+00:00,62334.52,loss,0.5184
20260712-0402-guardian,2026-07-12T04:02:16+00:00,guardian,BTC,below,64000.00,24,0.62,binance_btcusdt_1d_close,64191.57,2026-07-13T04:02:16+00:00,2026-07-14T11:03:14+00:00,62334.52,win,0.1444
20260713-0404-oracle,2026-07-13T04:04:25+00:00,oracle,BTC,above,63230.00,24,0.68,binance_btcusdt_1d_close,62774.00,2026-07-14T04:04:25+00:00,2026-07-15T03:40:09+00:00,65043.98,win,0.1024
20260713-0404-guardian,2026-07-13T04:04:25+00:00,guardian,BTC,below,63230.00,24,0.65,binance_btcusdt_1d_close,62774.00,2026-07-14T04:04:25+00:00,2026-07-15T03:40:09+00:00,65043.98,loss,0.4225
20260715-0340-oracle,2026-07-15T03:40:09+00:00,oracle,BTC,above,65044.00,24,0.68,binance_btcusdt_1d_close,64638.74,2026-07-16T03:40:09+00:00,2026-07-17T01:45:03+00:00,63830.20,loss,0.4624
20260715-0340-guardian,2026-07-15T03:40:09+00:00,guardian,BTC,below,65044.00,24,0.64,binance_btcusdt_1d_close,64638.74,2026-07-16T03:40:09+00:00,2026-07-17T01:45:03+00:00,63830.20,win,0.1296
20260716-0342-oracle,2026-07-16T03:42:19+00:00,oracle,BTC,above,65044.00,24,0.72,binance_btcusdt_1d_close,64693.31,2026-07-17T03:42:19+00:00,2026-07-18T11:34:07+00:00,63931.67,loss,0.5184
20260716-0342-guardian,2026-07-16T03:42:19+00:00,guardian,BTC,below,65044.00,24,0.62,binance_btcusdt_1d_close,64693.31,2026-07-17T03:42:19+00:00,2026-07-18T11:34:07+00:00,63931.67,win,0.1444
20260717-0145-oracle,2026-07-17T01:45:03+00:00,oracle,BTC,above,63830.00,24,0.72,binance_btcusdt_1d_close,63716.00,2026-07-18T01:45:03+00:00,2026-07-19T03:58:02+00:00,64834.22,win,0.0784
20260717-0145-guardian,2026-07-17T01:45:03+00:00,guardian,BTC,below,63830.00,24,0.67,binance_btcusdt_1d_close,63716.00,2026-07-18T01:45:03+00:00,2026-07-19T03:58:02+00:00,64834.22,loss,0.4489
20260718-1134-oracle,2026-07-18T11:34:07+00:00,oracle,BTC,above,65044.00,24,0.62,binance_btcusdt_1d_close,64020.54,2026-07-19T11:34:07+00:00,2026-07-20T04:07:30+00:00,64722.54,loss,0.3844
20260718-1134-guardian,2026-07-18T11:34:07+00:00,guardian,BTC,below,65044.00,24,0.72,binance_btcusdt_1d_close,64020.54,2026-07-19T11:34:07+00:00,2026-07-20T04:07:30+00:00,64722.54,win,0.0784
20260719-0358-weekly-oracle,2026-07-19T03:58:02+00:00,oracle,BTC,above,65044.00,168,0.58,binance_btcusdt_1d_close,64700.32,2026-07-26T03:58:02+00:00,,,pending,
20260719-0358-weekly-guardian,2026-07-19T03:58:02+00:00,guardian,BTC,below,65044.00,168,0.62,binance_btcusdt_1d_close,64700.32,2026-07-26T03:58:02+00:00,,,pending,
20260719-0358-oracle,2026-07-19T03:58:02+00:00,oracle,BTC,above,64834.00,24,0.68,binance_btcusdt_1d_close,64700.32,2026-07-20T03:58:02+00:00,2026-07-22T03:50:16+00:00,65255.51,win,0.1024
20260719-0358-guardian,2026-07-19T03:58:02+00:00,guardian,BTC,below,64834.00,24,0.62,binance_btcusdt_1d_close,64700.32,2026-07-20T03:58:02+00:00,2026-07-22T03:50:16+00:00,65255.51,loss,0.3844
20260720-0407-oracle,2026-07-20T04:07:30+00:00,oracle,BTC,above,65044.00,24,0.72,binance_btcusdt_1d_close,64745.37,2026-07-21T04:07:30+00:00,2026-07-22T03:50:16+00:00,66556.16,win,0.0784
20260720-0407-guardian,2026-07-20T04:07:30+00:00,guardian,BTC,below,65044.00,24,0.68,binance_btcusdt_1d_close,64745.37,2026-07-21T04:07:30+00:00,2026-07-22T03:50:16+00:00,66556.16,loss,0.4624
20260721-0348-oracle,2026-07-21T03:48:54+00:00,oracle,BTC,above,65255.00,24,0.57,binance_btcusdt_1d_close,65499.98,2026-07-22T03:48:54+00:00,2026-07-23T03:47:38+00:00,66114.49,win,0.1849
20260721-0348-guardian,2026-07-21T03:48:54+00:00,guardian,BTC,below,65255.00,24,0.72,binance_btcusdt_1d_close,65499.98,2026-07-22T03:48:54+00:00,2026-07-23T03:47:38+00:00,66114.49,loss,0.5184
20260722-1556-oracle,2026-07-22T15:56:01+00:00,oracle,BTC,above,66556.00,24,0.73,binance_btcusdt_1d_close,66049.99,2026-07-23T15:56:01+00:00,2026-07-24T03:46:30+00:00,65098.97,loss,0.5329
20260722-1556-guardian,2026-07-22T15:56:01+00:00,guardian,BTC,below,66556.00,24,0.62,binance_btcusdt_1d_close,66049.99,2026-07-23T15:56:01+00:00,2026-07-24T03:46:30+00:00,65098.97,win,0.1444
20260723-0347-oracle,2026-07-23T03:47:38+00:00,oracle,BTC,above,66114.00,24,0.73,binance_btcusdt_1d_close,65679.99,2026-07-24T03:47:38+00:00,,,pending,
20260723-0347-guardian,2026-07-23T03:47:38+00:00,guardian,BTC,below,66114.00,24,0.62,binance_btcusdt_1d_close,65679.99,2026-07-24T03:47:38+00:00,,,pending,
20260724-0346-oracle,2026-07-24T03:46:30+00:00,oracle,BTC,above,65255.00,24,0.62,binance_btcusdt_1d_close,65398.97,2026-07-25T03:46:30+00:00,,,pending,
20260724-0346-guardian,2026-07-24T03:46:30+00:00,guardian,BTC,below,65255.00,24,0.67,binance_btcusdt_1d_close,65398.97,2026-07-25T03:46:30+00:00,,,pending,
